axis,count,min_abs_error_m,max_abs_error_m,avg_abs_error_m,rmse_m,max_seq_idx,max_timestamp_us,max_filename,max_t_step,max_gt_x,max_gt_y,max_pred_x,max_pred_y,max_lateral_error,max_longitudinal_error,max_l2
lateral_x,1752,1.0073184967041016e-05,2.9712259769439697,0.39793896423780345,0.6093672522779215,73,1782210245120934486,1782210245120531407.png,6,-1.0440185070037842,9.321572303771973,-4.015244483947754,9.803315162658691,-2.9712259769439697,0.48174285888671875,3.010026693344116
longitudinal_y,1752,8.83340835571289e-05,3.972187042236328,0.686021249860389,0.9240426806907318,291,1782210354120934486,1782210354093284407.png,6,0.3477015197277069,5.32805061340332,0.005133878439664841,9.300237655639648,-0.34256765246391296,3.972187042236328,3.986931324005127
euclidean_l2,1752,0.007358481176197529,3.986931324005127,0.86010094541529,1.1068799935326747,291,1782210354120934486,1782210354093284407.png,6,0.3477015197277069,5.32805061340332,0.005133878439664841,9.300237655639648,-0.34256765246391296,3.972187042236328,3.986931324005127
