seq_idx,timestamp_us,filename,t_step,gt_x,gt_y,pred_x,pred_y,lateral_error,longitudinal_error,abs_lateral_error,abs_longitudinal_error,l2
0,1782210208620934486,1782210208618685407.png,1,0.01827271282672882,1.16202712059021,-0.04431675747036934,1.083311676979065,-0.06258946657180786,-0.07871544361114502,0.06258946657180786,0.07871544361114502,0.10056620836257935
0,1782210208620934486,1782210208618685407.png,2,0.0009472600067965686,2.3127450942993164,-0.1234777420759201,2.3010451793670654,-0.1244250014424324,-0.011699914932250977,0.1244250014424324,0.011699914932250977,0.12497387081384659
0,1782210208620934486,1782210208618685407.png,3,-0.04328184202313423,3.4992403984069824,-0.2283405065536499,3.507349729537964,-0.18505866825580597,0.008109331130981445,0.18505866825580597,0.008109331130981445,0.18523626029491425
0,1782210208620934486,1782210208618685407.png,4,-0.13656455278396606,4.751750469207764,-0.3575761318206787,4.730648517608643,-0.22101157903671265,-0.021101951599121094,0.22101157903671265,0.021101951599121094,0.22201669216156006
0,1782210208620934486,1782210208618685407.png,5,-0.24980583786964417,5.995386123657227,-0.5011559724807739,5.969196319580078,-0.25135013461112976,-0.026189804077148438,0.25135013461112976,0.026189804077148438,0.25271090865135193
0,1782210208620934486,1782210208618685407.png,6,-0.36178940534591675,7.246983051300049,-0.6291746497154236,7.177284240722656,-0.26738524436950684,-0.06969881057739258,0.26738524436950684,0.06969881057739258,0.27632009983062744
1,1782210209120934486,1782210209152036407.png,1,0.015356315299868584,1.151058554649353,-0.03989627584815025,1.130100965499878,-0.05525258928537369,-0.020957589149475098,0.05525258928537369,0.020957589149475098,0.05909373238682747
1,1782210209120934486,1782210209152036407.png,2,0.004809142556041479,2.338620901107788,-0.11505721509456635,2.387277364730835,-0.11986635625362396,0.048656463623046875,0.11986635625362396,0.048656463623046875,0.12936535477638245
1,1782210209120934486,1782210209152036407.png,3,-0.05282321572303772,3.593640089035034,-0.21501938998699188,3.6261446475982666,-0.16219617426395416,0.03250455856323242,0.16219617426395416,0.03250455856323242,0.16542111337184906
1,1782210209120934486,1782210209152036407.png,4,-0.13047167658805847,4.8405256271362305,-0.33865806460380554,4.873859405517578,-0.20818638801574707,0.033333778381347656,0.20818638801574707,0.033333778381347656,0.21083812415599823
1,1782210209120934486,1782210209152036407.png,5,-0.20677371323108673,6.095205783843994,-0.4746899902820587,6.133230209350586,-0.2679162621498108,0.0380244255065918,0.2679162621498108,0.0380244255065918,0.27060115337371826
1,1782210209120934486,1782210209152036407.png,6,-0.31987470388412476,7.369704723358154,-0.5950892567634583,7.359643936157227,-0.2752145528793335,-0.010060787200927734,0.2752145528793335,0.010060787200927734,0.2753983736038208
2,1782210209620934486,1782210209618668407.png,1,0.028961118310689926,1.1872358322143555,-0.04093199223279953,1.1740866899490356,-0.06989310681819916,-0.013149142265319824,0.06989310681819916,0.013149142265319824,0.07111924141645432
2,1782210209620934486,1782210209618668407.png,2,0.01317727379500866,2.4434385299682617,-0.11438651382923126,2.4742069244384766,-0.12756378948688507,0.030768394470214844,0.12756378948688507,0.030768394470214844,0.13122200965881348
