axis,count,min_abs_error_m,max_abs_error_m,avg_abs_error_m,rmse_m,max_seq_idx,max_timestamp_us,max_filename,max_t_step,max_gt_x,max_gt_y,max_pred_x,max_pred_y,max_lateral_error,max_longitudinal_error,max_l2
lateral_x,1752,0.00013208389282226562,2.9683940410614014,0.3972602664008226,0.6060601735900208,73,1782210245120934486,1782210245120531407.png,6,-1.0440185070037842,9.321572303771973,-4.0124125480651855,9.402880668640137,-2.9683940410614014,0.08130836486816406,2.9695074558258057
longitudinal_y,1752,1.430511474609375e-05,3.794654369354248,0.5836303889343183,0.8251129838021309,123,1782210270120934486,1782210270088483407.png,6,3.3398807048797607,5.5081868171691895,2.5757768154144287,9.302841186523438,-0.764103889465332,3.794654369354248,3.870821237564087
euclidean_l2,1752,0.008936374448239803,3.870821237564087,0.7794014160015267,1.0237775022582019,123,1782210270120934486,1782210270088483407.png,6,3.3398807048797607,5.5081868171691895,2.5757768154144287,9.302841186523438,-0.764103889465332,3.794654369354248,3.870821237564087
