seq_idx,timestamp_us,filename,t_step,gt_x,gt_y,pred_x,pred_y,lateral_error,longitudinal_error,abs_lateral_error,abs_longitudinal_error,l2
0,1782210208620934486,1782210208618685407.png,1,0.01827271282672882,1.16202712059021,-0.06479942053556442,1.0841176509857178,-0.08307213336229324,-0.07790946960449219,0.08307213336229324,0.07790946960449219,0.11388970166444778
0,1782210208620934486,1782210208618685407.png,2,0.0009472600067965686,2.3127450942993164,-0.13676992058753967,2.254849433898926,-0.13771718740463257,-0.057895660400390625,0.13771718740463257,0.057895660400390625,0.14939187467098236
0,1782210208620934486,1782210208618685407.png,3,-0.04328184202313423,3.4992403984069824,-0.23445677757263184,3.4142043590545654,-0.1911749392747879,-0.08503603935241699,0.1911749392747879,0.08503603935241699,0.20923428237438202
0,1782210208620934486,1782210208618685407.png,4,-0.13656455278396606,4.751750469207764,-0.35648423433303833,4.590601444244385,-0.21991968154907227,-0.1611490249633789,0.21991968154907227,0.1611490249633789,0.27264201641082764
0,1782210208620934486,1782210208618685407.png,5,-0.24980583786964417,5.995386123657227,-0.4928547739982605,5.782288551330566,-0.24304893612861633,-0.21309757232666016,0.24304893612861633,0.21309757232666016,0.3232388496398926
0,1782210208620934486,1782210208618685407.png,6,-0.36178940534591675,7.246983051300049,-0.6136671900749207,6.943485736846924,-0.2518777847290039,-0.303497314453125,0.2518777847290039,0.303497314453125,0.3944021463394165
1,1782210209120934486,1782210209152036407.png,1,0.015356315299868584,1.151058554649353,-0.06482071429491043,1.139471173286438,-0.08017703145742416,-0.011587381362915039,0.08017703145742416,0.011587381362915039,0.08101002126932144
1,1782210209120934486,1782210209152036407.png,2,0.004809142556041479,2.338620901107788,-0.1332227885723114,2.359567642211914,-0.13803192973136902,0.020946741104125977,0.13803192973136902,0.020946741104125977,0.13961224257946014
1,1782210209120934486,1782210209152036407.png,3,-0.05282321572303772,3.593640089035034,-0.22642917931079865,3.561422109603882,-0.17360596358776093,-0.032217979431152344,0.17360596358776093,0.032217979431152344,0.17657017707824707
1,1782210209120934486,1782210209152036407.png,4,-0.13047167658805847,4.8405256271362305,-0.34328725934028625,4.772185325622559,-0.21281558275222778,-0.06834030151367188,0.21281558275222778,0.06834030151367188,0.22351928055286407
1,1782210209120934486,1782210209152036407.png,5,-0.20677371323108673,6.095205783843994,-0.4725438356399536,5.994639873504639,-0.2657701373100281,-0.10056591033935547,0.2657701373100281,0.10056591033935547,0.28416064381599426
1,1782210209120934486,1782210209152036407.png,6,-0.31987470388412476,7.369704723358154,-0.5861659646034241,7.184104919433594,-0.2662912607192993,-0.18559980392456055,0.2662912607192993,0.18559980392456055,0.32458946108818054
2,1782210209620934486,1782210209618668407.png,1,0.028961118310689926,1.1872358322143555,-0.05878213047981262,1.1830108165740967,-0.08774325251579285,-0.004225015640258789,0.08774325251579285,0.004225015640258789,0.08784491568803787
2,1782210209620934486,1782210209618668407.png,2,0.01317727379500866,2.4434385299682617,-0.12137019634246826,2.4543745517730713,-0.13454747200012207,0.01093602180480957,0.13454747200012207,0.01093602180480957,0.13499118387699127
2,1782210209620934486,1782210209618668407.png,3,-0.02271108701825142,3.6921565532684326,-0.20808979868888855,3.7071585655212402,-0.18537871539592743,0.015002012252807617,0.18537871539592743,0.015002012252807617,0.1859847456216812
2,1782210209620934486,1782210209618668407.png,4,-0.05711975321173668,4.948632717132568,-0.3201324939727783,4.967655181884766,-0.26301273703575134,0.019022464752197266,0.26301273703575134,0.019022464752197266,0.2636997401714325
2,1782210209620934486,1782210209618668407.png,5,-0.1277414709329605,6.226141929626465,-0.4456539452075958,6.240400791168213,-0.3179124593734741,0.014258861541748047,0.3179124593734741,0.014258861541748047,0.31823205947875977
2,1782210209620934486,1782210209618668407.png,6,-0.19249214231967926,7.241557598114014,-0.552879810333252,7.481015205383301,-0.3603876829147339,0.2394576072692871,0.3603876829147339,0.2394576072692871,0.4326883852481842
3,1782210210120934486,1782210210151993407.png,1,0.019294993951916695,1.256369948387146,-0.056351952254772186,1.2235620021820068,-0.07564694434404373,-0.03280794620513916,0.07564694434404373,0.03280794620513916,0.08245496451854706
3,1782210210120934486,1782210210151993407.png,2,0.018276073038578033,2.505927085876465,-0.11477290093898773,2.524423360824585,-0.13304898142814636,0.018496274948120117,0.13304898142814636,0.018496274948120117,0.13432849943637848
3,1782210210120934486,1782210210151993407.png,3,0.0189589224755764,3.7631194591522217,-0.198147714138031,3.8090224266052246,-0.2171066403388977,0.04590296745300293,0.2171066403388977,0.04590296745300293,0.22190622985363007
