seq_idx,timestamp_us,filename,curr_x,curr_y,curr_yaw,kind,t_step,x,y,yaw
0,1782210208620934486,1782210208618685407.png,49.86191940307617,-12.726322174072266,-0.5830591320991516,input,0,-1.0382643938064575,-0.031214382499456406,0.033391620963811874
0,1782210208620934486,1782210208618685407.png,49.86191940307617,-12.726322174072266,-0.5830591320991516,input,1,-1.0296066999435425,-0.035118501633405685,0.03644997254014015
0,1782210208620934486,1782210208618685407.png,49.86191940307617,-12.726322174072266,-0.5830591320991516,input,2,-1.1614238023757935,-0.05132250487804413,0.028134236112236977
0,1782210208620934486,1782210208618685407.png,49.86191940307617,-12.726322174072266,-0.5830591320991516,gt,0,0.0,0.0,0.0
0,1782210208620934486,1782210208618685407.png,49.86191940307617,-12.726322174072266,-0.5830591320991516,gt,1,0.01827271282672882,1.16202712059021,-0.028134234249591827
0,1782210208620934486,1782210208618685407.png,49.86191940307617,-12.726322174072266,-0.5830591320991516,gt,2,0.0009472600067965686,2.3127450942993164,-0.06117599830031395
0,1782210208620934486,1782210208618685407.png,49.86191940307617,-12.726322174072266,-0.5830591320991516,gt,3,-0.04328184202313423,3.4992403984069824,-0.08914773166179657
0,1782210208620934486,1782210208618685407.png,49.86191940307617,-12.726322174072266,-0.5830591320991516,gt,4,-0.13656455278396606,4.751750469207764,-0.11143644154071808
0,1782210208620934486,1782210208618685407.png,49.86191940307617,-12.726322174072266,-0.5830591320991516,gt,5,-0.24980583786964417,5.995386123657227,-0.13222073018550873
0,1782210208620934486,1782210208618685407.png,49.86191940307617,-12.726322174072266,-0.5830591320991516,gt,6,-0.36178940534591675,7.246983051300049,-0.15054568648338318
0,1782210208620934486,1782210208618685407.png,49.86191940307617,-12.726322174072266,-0.5830591320991516,pred,0,-0.06479942053556442,1.0841176509857178,0.0
0,1782210208620934486,1782210208618685407.png,49.86191940307617,-12.726322174072266,-0.5830591320991516,pred,1,-0.13676992058753967,2.254849433898926,0.0
0,1782210208620934486,1782210208618685407.png,49.86191940307617,-12.726322174072266,-0.5830591320991516,pred,2,-0.23445677757263184,3.4142043590545654,0.0
0,1782210208620934486,1782210208618685407.png,49.86191940307617,-12.726322174072266,-0.5830591320991516,pred,3,-0.35648423433303833,4.590601444244385,0.0
0,1782210208620934486,1782210208618685407.png,49.86191940307617,-12.726322174072266,-0.5830591320991516,pred,4,-0.4928547739982605,5.782288551330566,0.0
0,1782210208620934486,1782210208618685407.png,49.86191940307617,-12.726322174072266,-0.5830591320991516,pred,5,-0.6136671900749207,6.943485736846924,0.0
1,1782210209120934486,1782210209152036407.png,50.84186935424805,-13.35507583618164,-0.6114698648452759,input,0,-1.0296066999435425,-0.035118501633405685,0.03644997254014015
1,1782210209120934486,1782210209152036407.png,50.84186935424805,-13.35507583618164,-0.6114698648452759,input,1,-1.1614238023757935,-0.05132250487804413,0.028134236112236977
1,1782210209120934486,1782210209152036407.png,50.84186935424805,-13.35507583618164,-0.6114698648452759,input,2,-1.1498945951461792,-0.053659092634916306,0.03304494917392731
1,1782210209120934486,1782210209152036407.png,50.84186935424805,-13.35507583618164,-0.6114698648452759,gt,0,0.0,0.0,0.0
1,1782210209120934486,1782210209152036407.png,50.84186935424805,-13.35507583618164,-0.6114698648452759,gt,1,0.015356315299868584,1.151058554649353,-0.03304494544863701
1,1782210209120934486,1782210209152036407.png,50.84186935424805,-13.35507583618164,-0.6114698648452759,gt,2,0.004809142556041479,2.338620901107788,-0.060997772961854935
1,1782210209120934486,1782210209152036407.png,50.84186935424805,-13.35507583618164,-0.6114698648452759,gt,3,-0.05282321572303772,3.593640089035034,-0.08325908333063126
1,1782210209120934486,1782210209152036407.png,50.84186935424805,-13.35507583618164,-0.6114698648452759,gt,4,-0.13047167658805847,4.8405256271362305,-0.10404033213853836
1,1782210209120934486,1782210209152036407.png,50.84186935424805,-13.35507583618164,-0.6114698648452759,gt,5,-0.20677371323108673,6.095205783843994,-0.12240485101938248
1,1782210209120934486,1782210209152036407.png,50.84186935424805,-13.35507583618164,-0.6114698648452759,gt,6,-0.31987470388412476,7.369704723358154,-0.13893643021583557
1,1782210209120934486,1782210209152036407.png,50.84186935424805,-13.35507583618164,-0.6114698648452759,pred,0,-0.06482071429491043,1.139471173286438,0.0
1,1782210209120934486,1782210209152036407.png,50.84186935424805,-13.35507583618164,-0.6114698648452759,pred,1,-0.1332227885723114,2.359567642211914,0.0
1,1782210209120934486,1782210209152036407.png,50.84186935424805,-13.35507583618164,-0.6114698648452759,pred,2,-0.22642917931079865,3.561422109603882,0.0
1,1782210209120934486,1782210209152036407.png,50.84186935424805,-13.35507583618164,-0.6114698648452759,pred,3,-0.34328725934028625,4.772185325622559,0.0
1,1782210209120934486,1782210209152036407.png,50.84186935424805,-13.35507583618164,-0.6114698648452759,pred,4,-0.4725438356399536,5.994639873504639,0.0
1,1782210209120934486,1782210209152036407.png,50.84186935424805,-13.35507583618164,-0.6114698648452759,pred,5,-0.5861659646034241,7.184104919433594,0.0
2,1782210209620934486,1782210209618668407.png,51.79252624511719,-14.006412506103516,-0.6444844007492065,input,0,-1.1614238023757935,-0.05132250487804413,0.028134236112236977
2,1782210209620934486,1782210209618668407.png,51.79252624511719,-14.006412506103516,-0.6444844007492065,input,1,-1.1498945951461792,-0.053659092634916306,0.03304494917392731
2,1782210209620934486,1782210209618668407.png,51.79252624511719,-14.006412506103516,-0.6444844007492065,input,2,-1.1861257553100586,-0.06210019439458847,0.027935920283198357
2,1782210209620934486,1782210209618668407.png,51.79252624511719,-14.006412506103516,-0.6444844007492065,gt,0,0.0,0.0,0.0
2,1782210209620934486,1782210209618668407.png,51.79252624511719,-14.006412506103516,-0.6444844007492065,gt,1,0.028961118310689926,1.1872358322143555,-0.027935920283198357
2,1782210209620934486,1782210209618668407.png,51.79252624511719,-14.006412506103516,-0.6444844007492065,gt,2,0.01317727379500866,2.4434385299682617,-0.05017391964793205
2,1782210209620934486,1782210209618668407.png,51.79252624511719,-14.006412506103516,-0.6444844007492065,gt,3,-0.02271108701825142,3.6921565532684326,-0.07095296680927277
2,1782210209620934486,1782210209618668407.png,51.79252624511719,-14.006412506103516,-0.6444844007492065,gt,4,-0.05711975321173668,4.948632717132568,-0.08935005962848663
2,1782210209620934486,1782210209618668407.png,51.79252624511719,-14.006412506103516,-0.6444844007492065,gt,5,-0.1277414709329605,6.226141929626465,-0.10588261485099792
2,1782210209620934486,1782210209618668407.png,51.79252624511719,-14.006412506103516,-0.6444844007492065,gt,6,-0.19249214231967926,7.241557598114014,-0.11033269762992859
2,1782210209620934486,1782210209618668407.png,51.79252624511719,-14.006412506103516,-0.6444844007492065,pred,0,-0.05878213047981262,1.1830108165740967,0.0
2,1782210209620934486,1782210209618668407.png,51.79252624511719,-14.006412506103516,-0.6444844007492065,pred,1,-0.12137019634246826,2.4543745517730713,0.0
2,1782210209620934486,1782210209618668407.png,51.79252624511719,-14.006412506103516,-0.6444844007492065,pred,2,-0.20808979868888855,3.7071585655212402,0.0
2,1782210209620934486,1782210209618668407.png,51.79252624511719,-14.006412506103516,-0.6444844007492065,pred,3,-0.3201324939727783,4.967655181884766,0.0
2,1782210209620934486,1782210209618668407.png,51.79252624511719,-14.006412506103516,-0.6444844007492065,pred,4,-0.4456539452075958,6.240400791168213,0.0
2,1782210209620934486,1782210209618668407.png,51.79252624511719,-14.006412506103516,-0.6444844007492065,pred,5,-0.552879810333252,7.481015205383301,0.0
3,1782210210120934486,1782210210151993407.png,52.758094787597656,-14.699600219726562,-0.6726033091545105,input,0,-1.1498945951461792,-0.053659092634916306,0.03304494917392731
3,1782210210120934486,1782210210151993407.png,52.758094787597656,-14.699600219726562,-0.6726033091545105,input,1,-1.1861257553100586,-0.06210019439458847,0.027935920283198357
3,1782210210120934486,1782210210151993407.png,52.758094787597656,-14.699600219726562,-0.6726033091545105,input,2,-1.2559047937393188,-0.04724746197462082,0.02223868854343891
3,1782210210120934486,1782210210151993407.png,52.758094787597656,-14.699600219726562,-0.6726033091545105,gt,0,0.0,0.0,0.0
3,1782210210120934486,1782210210151993407.png,52.758094787597656,-14.699600219726562,-0.6726033091545105,gt,1,0.019294993951916695,1.256369948387146,-0.02223868854343891
3,1782210210120934486,1782210210151993407.png,52.758094787597656,-14.699600219726562,-0.6726033091545105,gt,2,0.018276073038578033,2.505927085876465,-0.04301736503839493
3,1782210210120934486,1782210210151993407.png,52.758094787597656,-14.699600219726562,-0.6726033091545105,gt,3,0.0189589224755764,3.7631194591522217,-0.06141374632716179
3,1782210210120934486,1782210210151993407.png,52.758094787597656,-14.699600219726562,-0.6726033091545105,gt,4,-0.015965359285473824,5.042292594909668,-0.07794627547264099
3,1782210210120934486,1782210210151993407.png,52.758094787597656,-14.699600219726562,-0.6726033091545105,gt,5,-0.05233948677778244,6.059278964996338,-0.08239627629518509
3,1782210210120934486,1782210210151993407.png,52.758094787597656,-14.699600219726562,-0.6726033091545105,gt,6,-0.09758811444044113,7.364462852478027,-0.08368731290102005
3,1782210210120934486,1782210210151993407.png,52.758094787597656,-14.699600219726562,-0.6726033091545105,pred,0,-0.056351952254772186,1.2235620021820068,0.0
3,1782210210120934486,1782210210151993407.png,52.758094787597656,-14.699600219726562,-0.6726033091545105,pred,1,-0.11477290093898773,2.524423360824585,0.0
3,1782210210120934486,1782210210151993407.png,52.758094787597656,-14.699600219726562,-0.6726033091545105,pred,2,-0.198147714138031,3.8090224266052246,0.0
3,1782210210120934486,1782210210151993407.png,52.758094787597656,-14.699600219726562,-0.6726033091545105,pred,3,-0.3079342842102051,5.102494716644287,0.0
3,1782210210120934486,1782210210151993407.png,52.758094787597656,-14.699600219726562,-0.6726033091545105,pred,4,-0.43226158618927,6.409372806549072,0.0
3,1782210210120934486,1782210210151993407.png,52.758094787597656,-14.699600219726562,-0.6726033091545105,pred,5,-0.5387596487998962,7.685023307800293,0.0
4,1782210210620934486,1782210210618747407.png,53.75189971923828,-15.471085548400879,-0.695088803768158,input,0,-1.1861257553100586,-0.06210019439458847,0.027935920283198357
4,1782210210620934486,1782210210618747407.png,53.75189971923828,-15.471085548400879,-0.695088803768158,input,1,-1.2559047937393188,-0.04724746197462082,0.02223868854343891
4,1782210210620934486,1782210210618747407.png,53.75189971923828,-15.471085548400879,-0.695088803768158,input,2,-1.2489118576049805,-0.05240444093942642,0.020778242498636246
4,1782210210620934486,1782210210618747407.png,53.75189971923828,-15.471085548400879,-0.695088803768158,gt,0,0.0,0.0,0.0
4,1782210210620934486,1782210210618747407.png,53.75189971923828,-15.471085548400879,-0.695088803768158,gt,1,0.026798084378242493,1.249692678451538,-0.020778242498636246
4,1782210210620934486,1782210210618747407.png,53.75189971923828,-15.471085548400879,-0.695088803768158,gt,2,0.05545927956700325,2.506873607635498,-0.03917761519551277
4,1782210210620934486,1782210210618747407.png,53.75189971923828,-15.471085548400879,-0.695088803768158,gt,3,0.04900512471795082,3.7867438793182373,-0.055710479617118835
4,1782210210620934486,1782210210618747407.png,53.75189971923828,-15.471085548400879,-0.695088803768158,gt,4,0.035268634557724,4.8044867515563965,-0.06015830859541893
4,1782210210620934486,1782210210618747407.png,53.75189971923828,-15.471085548400879,-0.695088803768158,gt,5,0.019085967913269997,6.110790729522705,-0.06145006790757179
4,1782210210620934486,1782210210618747407.png,53.75189971923828,-15.471085548400879,-0.695088803768158,gt,6,-0.0035650627687573433,7.45175838470459,-0.058922406286001205
4,1782210210620934486,1782210210618747407.png,53.75189971923828,-15.471085548400879,-0.695088803768158,pred,0,-0.04284437745809555,1.256751298904419,0.0
4,1782210210620934486,1782210210618747407.png,53.75189971923828,-15.471085548400879,-0.695088803768158,pred,1,-0.09516169130802155,2.6042325496673584,0.0
4,1782210210620934486,1782210210618747407.png,53.75189971923828,-15.471085548400879,-0.695088803768158,pred,2,-0.17031455039978027,3.938169479370117,0.0
4,1782210210620934486,1782210210618747407.png,53.75189971923828,-15.471085548400879,-0.695088803768158,pred,3,-0.26789891719818115,5.28051233291626,0.0
4,1782210210620934486,1782210210618747407.png,53.75189971923828,-15.471085548400879,-0.695088803768158,pred,4,-0.3810670077800751,6.6346869468688965,0.0
4,1782210210620934486,1782210210618747407.png,53.75189971923828,-15.471085548400879,-0.695088803768158,pred,5,-0.47421467304229736,7.958566188812256,0.0
5,1782210211120934486,1782210211152014407.png,54.72787857055664,-16.256633758544922,-0.7158885598182678,input,0,-1.2559047937393188,-0.04724746197462082,0.02223868854343891
5,1782210211120934486,1782210211152014407.png,54.72787857055664,-16.256633758544922,-0.7158885598182678,input,1,-1.2489118576049805,-0.05240444093942642,0.020778242498636246
5,1782210211120934486,1782210211152014407.png,54.72787857055664,-16.256633758544922,-0.7158885598182678,input,2,-1.2546939849853516,-0.07777124643325806,0.018374774605035782
5,1782210211120934486,1782210211152014407.png,54.72787857055664,-16.256633758544922,-0.7158885598182678,gt,0,0.0,0.0,0.0
5,1782210211120934486,1782210211152014407.png,54.72787857055664,-16.256633758544922,-0.7158885598182678,gt,1,0.054515939205884933,1.25634765625,-0.018374774605035782
5,1782210211120934486,1782210211152014407.png,54.72787857055664,-16.256633758544922,-0.7158885598182678,gt,2,0.0744631290435791,2.5361006259918213,-0.03490705043077469
5,1782210211120934486,1782210211152014407.png,54.72787857055664,-16.256633758544922,-0.7158885598182678,gt,3,0.0817137286067009,3.5539302825927734,-0.039369240403175354
5,1782210211120934486,1782210211152014407.png,54.72787857055664,-16.256633758544922,-0.7158885598182678,gt,4,0.0923110768198967,4.860335826873779,-0.040656428784132004
5,1782210211120934486,1782210211152014407.png,54.72787857055664,-16.256633758544922,-0.7158885598182678,gt,5,0.09737668931484222,6.201503753662109,-0.03811118006706238
5,1782210211120934486,1782210211152014407.png,54.72787857055664,-16.256633758544922,-0.7158885598182678,gt,6,0.1386336237192154,7.537128448486328,-0.03409811481833458
5,1782210211120934486,1782210211152014407.png,54.72787857055664,-16.256633758544922,-0.7158885598182678,pred,0,-0.029257865622639656,1.3008131980895996,0.0
5,1782210211120934486,1782210211152014407.png,54.72787857055664,-16.256633758544922,-0.7158885598182678,pred,1,-0.07568630576133728,2.698810338973999,0.0
5,1782210211120934486,1782210211152014407.png,54.72787857055664,-16.256633758544922,-0.7158885598182678,pred,2,-0.14370985329151154,4.08309268951416,0.0
5,1782210211120934486,1782210211152014407.png,54.72787857055664,-16.256633758544922,-0.7158885598182678,pred,3,-0.23190557956695557,5.4736552238464355,0.0
5,1782210211120934486,1782210211152014407.png,54.72787857055664,-16.256633758544922,-0.7158885598182678,pred,4,-0.3366776704788208,6.875254154205322,0.0
5,1782210211120934486,1782210211152014407.png,54.72787857055664,-16.256633758544922,-0.7158885598182678,pred,5,-0.42201465368270874,8.247312545776367,0.0
6,1782210211620934486,1782210211618746407.png,55.71075439453125,-17.043804168701172,-0.733950674533844,input,0,-1.2489118576049805,-0.05240444093942642,0.020778242498636246
6,1782210211620934486,1782210211618746407.png,55.71075439453125,-17.043804168701172,-0.733950674533844,input,1,-1.2546939849853516,-0.07777124643325806,0.018374774605035782
6,1782210211620934486,1782210211618746407.png,55.71075439453125,-17.043804168701172,-0.733950674533844,input,2,-1.2779340744018555,-0.06467655301094055,0.01653236523270607
6,1782210211620934486,1782210211618746407.png,55.71075439453125,-17.043804168701172,-0.733950674533844,gt,0,0.0,0.0,0.0
6,1782210211620934486,1782210211618746407.png,55.71075439453125,-17.043804168701172,-0.733950674533844,gt,1,0.04359661042690277,1.2788386344909668,-0.01653236709535122
6,1782210211620934486,1782210211618746407.png,55.71075439453125,-17.043804168701172,-0.733950674533844,gt,2,0.06966333836317062,2.2960851192474365,-0.020985979586839676
6,1782210211620934486,1782210211618746407.png,55.71075439453125,-17.043804168701172,-0.733950674533844,gt,3,0.10450921952724457,3.6014668941497803,-0.02227586880326271
6,1782210211620934486,1782210211618746407.png,55.71075439453125,-17.043804168701172,-0.733950674533844,gt,4,0.13432972133159637,4.942050457000732,-0.01974107325077057
6,1782210211620934486,1782210211618746407.png,55.71075439453125,-17.043804168701172,-0.733950674533844,gt,5,0.20028235018253326,6.27630090713501,-0.015738125890493393
6,1782210211620934486,1782210211618746407.png,55.71075439453125,-17.043804168701172,-0.733950674533844,gt,6,0.25056326389312744,7.639791965484619,-0.011167817749083042
6,1782210211620934486,1782210211618746407.png,55.71075439453125,-17.043804168701172,-0.733950674533844,pred,0,-0.037748634815216064,1.3040881156921387,0.0
